district,latitude,longitude
A15,42.37931527116256,-71.06377879778441
A7,42.37131769025404,-71.01217091330804
A1,42.35806022764375,-71.06116367090635
C6,42.33467672819438,-71.04395713082704
D4,42.34415884088792,-71.08331038265295
D14,42.35189932152807,-71.14565017763351
E13,42.30806817061166,-71.11477464556505
E5,42.282003999958945,-71.15342251595963
B3,42.28336590141482,-71.08704682615301
C11,42.2966183348274,-71.0521113799259
E18,42.25956582224882,-71.12474190791222
B2,42.31982382706035,-71.08854014463512
